letter,word,definition,dialect,sentiment
a,a,n. letter A. walay — illiterate.,cebuano,
a,à,"particle preceding or following a sentence with an adjective predicate; 1. dismissing something as impractical, too easy, impossible, etc. À, mu ra diay nà? Kasayun à! Oh, is that all there is to it? How easy it is! À, ása man ku mutúu nímu, Hm, you think I could believe you? 2. showing disapproval. À, hináya nímung mulíhuk, Hm! You sure work slowly! 3. showing surprise. À, kanindut nímug sinínà, How come you have such a beautiful dress on!",cebuano,positive
a,á,"particle used as a pause word before starting to speak; 1. as a filler. Á, muanhi ka ugmà? Um, are you going to come here tomorrow? 2. deprecating or showing unimportance of what just preceded. Á, paríha ra nákù, Oh, it’s all the same to me. Á, nagkumidiya lang siya, Oh, he’s just joking; 3. showing mild disapproval. Á, dì nà mahímù, Oh, you can’t do that; 4. recalling or conceding something Á, duha diay tu, Oh, yes. There were two of them, weren’t there; 4a. preceding something just found out. Á, Lítu diay ímung ngálan, Oh, so your name is Lito. Á, kanindut, Oh, how nice! 5. expressing relief. Á, nahuwasan ku, Ah, what a relief!",cebuano,
a,ā̀,see álà.,cebuano,
a,A.D.,Anno Domini.,cebuano,
a,ab-ab,"v. 1. chew to pieces. Ab-ábun sa irù ang íyang hikut, The dog will chew up his rope; 2. eat away, erode. Ang pagluib ni Maríya nag-ab-ab sa íyang balatían, Maria’s infidelity ate away at his insides. Giab-ab ang íyang pinútì sa tayà, His sword was eaten away by rust; 3. fester. Ang nag-ab-ab kung núka, My festering wound.",cebuano,negative
a,aba,"exclamation of pleasure and surprise. Aba! Nakadaug ku, My! I won!",cebuano,negative
a,aba,n. breast of fowls.,cebuano,negative
a,ábà tuy,"(from sábà dihà untuy) shut up! Ábà tuy, maáyu ka lang sa tayáda, wà kay tadtad, Shut up! You’re great at talking, but let’s see you do something.",cebuano,positive
a,abaa,particle indicating disapproval (literary). Abaa! Mahū́g ka gánì dihà! Stop that! You might fall!,cebuano,negative
a,abad,n. abbot.,cebuano,
a,ábag,"v. give material help, help do work. Kinsa may mag-ábag nímu sa ímung pag-iskuyla? Who will help pay for your schooling? Abági ku áring pagsilhig, Help me sweep; n. help given. ka- n. helper.",cebuano,
a,abaga,n. shoulder; back,cebuano,positive
a,abága,"n. shoulder; v. 1. take financial responsibility. Abagáhun (pangabagáhun, pangabagáhan) ni Mánuy níya ang galastúhan sa pag-iskuyla, His brother will shoulder his school expenses; 2. take responsibility for accomplishing something Kita giyuy muabága (mangabága) áning prugramáha, We must undertake to carry out this program. (→) see abága, v. paN- n. right-hand-man. abagáhun a. broad-shouldered.",cebuano,
a,abaga,n. sweet potatoes growing from the outer vines and not from the main root.,cebuano,positive
a,abaka,hemp,cebuano,
a,abaka,"n. 1. abaca plant: Musa textilis; 2. abaca fiber. abakahan, abakanhan, abakal n. abaca plantation; v. own an abaca plantation.",cebuano,
a,abakada,alphabet; abcd,cebuano,
a,abakáda,n. alphabet.,cebuano,
a,abakadhan,n. alphabet,cebuano,
a,abakal,see abaka.,cebuano,
a,abal,n. see balbal; v. see abat.,cebuano,
a,abalu,"n. assessed value; v. assess, be assessed at. Ug ikaw muabalu sa ákung yútà, ayawg dak-a, If you assess my land, don’t set it too high. Ang yútà miabalu (giabalu, giabaluhan) ug singkwinta mil, The land was assessed at fifty thousand pesos.",cebuano,
a,abalwasiyun,"n. assessment. Purus dagkug abalwasiyun ang mga yútà dinhi sa syudad, The lots in the city all have high assessments.",cebuano,
a,abandunar,"v. abandon, neglect. Nag-abandunar na lang siya sa íyang kaugalíngun sukad mamatay ang íyang asáwa, He neglected himself entirely after his wife died. Ayaw abandunaha (iabandunar) ang ímung pamilya, Do not abandon your family. abandunádu a. 1. abandoned; 2. neglectful; v. see abandunar.",cebuano,negative
a,abandúnu,see abandunar.,cebuano,
a,abang,n. rent; hire,cebuano,
a,ábang,"v. 1. rent. Ang usa ka kwartu giabángan sa tigúlang, The old man rents one of the rooms; 2. hire a prostitute; 3. make an offering to a supernatural being for the use of land which is thought to be in his possession. Iábang ni nákung baktína álang sa uma, I will sacrifice this pig as rental for the land; n. 1. rent paid. Pilay ábang nímu sa libru? How much rent did you pay for the book? 2. money paid a prostitute; 3. toil taken by supernatural beings. Kadtung nalumus dinhi ábang kunu tu sa ingkantu, The man who drowned here is said to have been the rent collected by the supernatural spirit. paN- v. patronize a prostitute. -an(→) 1, 2, 3. see ábang, n; 4. haunted place, place where departed spirits take a toll or rent. Abangan kunu kanang baláya. Náa giyuy mamatay káda túig, That house is haunted (lit. has a rental on it). Each year someone dies there.",cebuano,negative
a,abangan,n. kind of rattan used as anchor rope for a búbu fish trap.,cebuano,positive
a,abangan,v. to hire; to rent,cebuano,positive
