letter,word,definition,dialect,sentiment
a,a,"art. maysa, umuna a letra ti alfabeto",ilocano,
a,abandon,"v. baybay-an, ibati, licudan",ilocano,
a,abdomen,n. tian,ilocano,
a,abduct,"v. itaray, agawen",ilocano,
a,abeyance,"n. panagur-uray, panangteng-ngel",ilocano,
a,abide,v. agtaeng,ilocano,
a,ability,n. cabaelan,ilocano,
a,able,"adj. napigsa, addan cabaelan, addaan bileg",ilocano,
a,abnormal,adj. naisupadi iti caaduan,ilocano,negative
a,aboard,"adv. nacalugan, nacasacay",ilocano,
a,abolish,"v. iccaten, pucawen",ilocano,
a,abortive,n. naganac a saanna a tiempo,ilocano,
a,about,"prep., adv. maipanggep, maipapan",ilocano,
a,above,"adv. ñgato, ngatuen",ilocano,
a,abridge,"v. yababa, gupongen",ilocano,
a,abrupt,"adj. dagus la nga, kellaat",ilocano,
a,absent,"adj., v. awan, saan a simbrec",ilocano,negative
a,absolute,"adj. macabalin, ti isuamin",ilocano,
a,absorb,"v. sisipen, maicuyog, agsepen",ilocano,
a,absurd,"adj. nacacat-catawa, awan banagna, di rumbeng",ilocano,
a,abundance,n. kinaadu,ilocano,
a,abuse,panagsalungasibng,ilocano,
a,accent,n. talmeg,ilocano,
a,accept,"v. awaten, alen",ilocano,
a,accidentally,"adv. saan a ginagara, di pinanggep",ilocano,
a,accomplish,"v. leppasen, aramiden",ilocano,
a,account,"v. ibilang, sungbatan",ilocano,
a,accountant,"n. magtaming iti libro ti compañia, contador",ilocano,
a,accuse,v. pabasolen,ilocano,
a,accustom,"v. ipacadawyan, mairuam, iruam",ilocano,
a,ache,v. sumakit,ilocano,
a,acidity,"n. kinaalsem, alsem",ilocano,
a,acknowledge,"bigbigen, awaten",ilocano,
a,acompany,"v. caduaan, cuyogen",ilocano,
a,acquaint,"v. ipaammo, ipacaammo, yammo",ilocano,
a,acquire,v. alaen,ilocano,
a,across,"adv. idiay bañgir, ballasiw",ilocano,
a,act,"v. agaramid, gumaraw",ilocano,
a,action,"n. aramad, garaw",ilocano,
a,active,"adj. sabibiag, nagreta",ilocano,
a,actress,n. artista a babai,ilocano,
a,actual,"adj. pudno, agpayso",ilocano,
a,add,"v. inayon, pagtiponen",ilocano,
a,addition,n. panangnayon,ilocano,
a,address,"n. panagbitla, pagtaengan",ilocano,
a,adequate,"adj. umdas, macaanay",ilocano,
a,adjective,"n. adjectivo, sarita a mangted ti caipapanan ti banag",ilocano,
a,adjust,v. ibagay,ilocano,
a,admiral,v. panagdayaw,ilocano,
a,admire,"v. dayawen, bigbigen a sidadayaw",ilocano,
a,admission,"n. panagawat, panagpastrec",ilocano,
a,admit,"v. awate, pastreken",ilocano,
a,adopt,"v. taracnen, alaen, panangala a cas cucua",ilocano,
a,adore,"v. dayawen, ayaten",ilocano,
a,adult,"n. lacay, nataengan",ilocano,
a,advance,n. idadarup,ilocano,
a,advantage,"n. pagsayaatan, gundaway",ilocano,
a,adventurous,"adj. natured, managpadas",ilocano,
a,adverb,n. adverbo,ilocano,
a,advertise,"v. ipaamo, iwarnac",ilocano,
a,advertisement,"n. pacaammo, pannacaiwarnac, pacdaar",ilocano,
a,advice,"v. patigmaan, balacadan",ilocano,
