text,language
tulain,tagalog
resureksyon,tagalog
pagkasakdal,tagalog
magpakatawan,tagalog
pagtayo,tagalog
kalúbid,cebuano
bisa,cebuano
abandunar,cebuano
mityoro,tagalog
strike,ilocano
tahaw,tagalog
kridinsiyal,cebuano
siá,hiligaynon
higantihan,tagalog
plasenta,tagalog
hadlok,cebuano
pagtikim,tagalog
mabungad,tagalog
alo-alo,cebuano
maay ug pamarog,cebuano
reserba (mga -),tagalog
tagiptip,cebuano
ság-id,hiligaynon
prutína,cebuano
kalipikasyon,cebuano
pabaon,tagalog
tandisan,tagalog
makaparis,tagalog
man naman,tagalog
kumkum,cebuano
gáwì,hiligaynon
banahían,cebuano
infirm,ilocano
pagtuhop,cebuano
kagyo,cebuano
maliwanag,tagalog
igkam,cebuano
pagdalaw,tagalog
sambirí,hiligaynon
badigard,tagalog
pagreretoke,tagalog
parang rosas,tagalog
mouli,cebuano
káting klásis,cebuano
sukud,cebuano
hawod,cebuano
aksiyun,cebuano
bikug,cebuano
pagsabwag,cebuano
suitable,ilocano
lában,cebuano
muryatiko,tagalog
bítin,hiligaynon
tamay,cebuano
panukus,cebuano
banwa,tagalog
outline,ilocano
káyang,cebuano
kumulimlim,tagalog
pasilangan,tagalog
popularity,ilocano
malao't madali,tagalog
sumagi sa isip,tagalog
imposible,tagalog
kahera,tagalog
mas sipa,cebuano
bulohaton,cebuano
maggiit,tagalog
this,ilocano
warak,cebuano
asoy,cebuano
meyor,tagalog
ilhanan,cebuano
gitgit,cebuano
dagabdab,cebuano
pagtudyo,tagalog
mapagtapon,tagalog
kumpanyíra,cebuano
magbagting,tagalog
ripen,ilocano
Alemana,tagalog
kandidit,cebuano
ikawkaw,tagalog
matikason,cebuano
chastity,ilocano
diyutay nga dagat,cebuano
kulamin,tagalog
hiwa-hiwain,tagalog
lulan,tagalog
makadesgrasya,tagalog
disgrasya,cebuano
íkit,cebuano
rekristalisasiyon,tagalog
kahanggahan,tagalog
kawalang-pag-asa,tagalog
kapayas,cebuano
bunga,tagalog
pagmaniho,cebuano
abala,tagalog
tawak,tagalog
buráskal,hiligaynon
búlig,cebuano
kubyirtus,cebuano
kalábu,cebuano
pagsasanay,cebuano
eksterna,tagalog
kamo,cebuano
bigkisan,tagalog
kuntininti,cebuano
maytir,cebuano
transaction,tagalog
