text,language
nakaparada,tagalog
konspirasyon,tagalog
larawan,cebuano
tapete,tagalog
sekundarya,tagalog
bolobáyhon,hiligaynon
palain-lain,cebuano
súgal,cebuano
katigurya,tagalog
selection,ilocano
magtahip,tagalog
y,hiligaynon
kaluod,cebuano
midikal,cebuano
dayaríya,cebuano
gamhanan kaayo,cebuano
dili masukna,cebuano
halos umabot,tagalog
kastigado,tagalog
hulahup,cebuano
trayintaydus,cebuano
singdalan,cebuano
kalandrakas,cebuano
bílos,hiligaynon
pag-iimpok,tagalog
ugsarán,hiligaynon
kambang,tagalog
pagkahiwalay,cebuano
makasira ng loob,tagalog
sapígad,cebuano
busy,ilocano
pagkabughat,cebuano
inhustisya,tagalog
antíhay,cebuano
muldi,cebuano
salipud sa mata,cebuano
bungáwu,cebuano
pal,ilocano
lutak,cebuano
agas,tagalog
buhat,cebuano
kintay,tagalog
kaduha,cebuano
sumugpo,tagalog
disgrasya,tagalog
nobelista,tagalog
ligoy,tagalog
yelohan,tagalog
kawanggawa,tagalog
linog,cebuano
kulag kaabtik,cebuano
magpayo,tagalog
balítaw,hiligaynon
dani,cebuano
dusing,tagalog
magpolbo,tagalog
álat,cebuano
tuwatúwa,cebuano
humaplit,tagalog
violation,ilocano
bágay sa,hiligaynon
hilaw,cebuano
esponghado,tagalog
ligoy-ligoy,cebuano
pagtula,tagalog
parituhan,tagalog
hana,cebuano
ugma,cebuano
iraos,tagalog
mabination,cebuano
pagsasanggunian,tagalog
magtulong,tagalog
planíta,cebuano
pagdating,tagalog
gikinahanglan,cebuano
lisun plan,cebuano
kaabtik,cebuano
kainaman,tagalog
kahilasan,cebuano
bikwang,cebuano
kalamak,tagalog
ukal,cebuano
kataru,cebuano
pagsamo,tagalog
paghunahuna,cebuano
kristiyánus,cebuano
gansangon,cebuano
bagóong,hiligaynon
eroplano,tagalog
gúnut,hiligaynon
balántyong,hiligaynon
bilang na dimatwirin,tagalog
pagdidikit,tagalog
kánit,cebuano
bóla,hiligaynon
kadlit,cebuano
súnlug,hiligaynon
hayahay,cebuano
panapton,cebuano
subìsubì,cebuano
magkabila,tagalog
maylab,cebuano
mapasisinungalingan,tagalog
kasalantaan,tagalog
magtalisay,cebuano
papanumbalikin,tagalog
panguskos,tagalog
ibíngan,cebuano
simbáhan,hiligaynon
mahibang,tagalog
nga nag-anod-anod,cebuano
ipaturo,tagalog
guide,ilocano
kumpitis,tagalog
bobo,tagalog
di pinapasukan ng hangin,tagalog
bilang na buumbilang,tagalog
puwa,tagalog
hakbang,cebuano
gabot,tagalog
penetration,ilocano
mikasita,tagalog
grapinyíra,cebuano
kurídas,cebuano
guráy-guráy,hiligaynon
bagong-tao,tagalog
butitos,tagalog
abot sa yuta,cebuano
pagdugtong,cebuano
tambalan,tagalog
bag-ung,cebuano
ipukrita,cebuano
legilative,ilocano
siruhia,tagalog
nalisang,cebuano
patánì,cebuano
pangkapatiran,tagalog
makapaanad,cebuano
tinguha,cebuano
"salád-ang, saládang",hiligaynon
tagbaya,cebuano
naglupad,cebuano
paghaon,cebuano
malingilingi,cebuano
panagdugok,cebuano
sampangkung -in-,cebuano
mapamungka,tagalog
paglimot,cebuano
pinuhan,tagalog
manabi,tagalog
panunuba,tagalog
paligaw,tagalog
punoan,cebuano
haágum,hiligaynon
lampaso,cebuano
wala'y ngipon,cebuano
dragon,tagalog
pangunguling,tagalog
ungà,cebuano
babayhána,hiligaynon
tapi,tagalog
preskripsyon,tagalog
wala'y tawo,cebuano
balad,tagalog
pagkabagsak,tagalog
Bismut,tagalog
diwata,cebuano
bikil,cebuano
luspad,cebuano
kumilo,tagalog
paunawaan,tagalog
mangontrata ng pagpapakain,tagalog
maghangad,tagalog
tuluy-tuloy,tagalog
amortisasyon,tagalog
sa huni,cebuano
manghiya,tagalog
ispunsur,cebuano
hapón-hápon,hiligaynon
sapyà,cebuano
pedal,tagalog
gumulaylay,tagalog
pagsasalakayan,tagalog
imbutin,tagalog
puyo,cebuano
humóg,hiligaynon
kapal-lupa,tagalog
herbabuéna,hiligaynon
yárì,cebuano
magkatuon,tagalog
libun,cebuano
di-sanay,tagalog
palinga,tagalog
ang nagmaniho,cebuano
pagpapalagayan,tagalog
gitata,tagalog
hari,cebuano
koredor,tagalog
hinarákhak,hiligaynon
pugtud,cebuano
kalarawan,tagalog
wala gayod,cebuano
álun,cebuano
libintadur,cebuano
abutanan,cebuano
lure,ilocano
búlig,cebuano
kansilar,cebuano
pitlà,cebuano
ngilo,tagalog
bilibid,tagalog
mapagpuna,tagalog
unahan,tagalog
paroonan,tagalog
awumbak,cebuano
magkatiyaga,tagalog
titulo,tagalog
liban sa,tagalog
bapor,tagalog
hútak,cebuano
tuko,cebuano
uyakut,cebuano
táwun,cebuano
puristic,ilocano
paghayahay,cebuano
maliwanag,tagalog
ginuk,cebuano
silain,tagalog
mangilngig,cebuano
harinahin,tagalog
katihan,tagalog
walang-kakayahan,tagalog
mataas,cebuano
batong-langis,tagalog
reorganisahin,tagalog
mahayag,cebuano
gum-us,cebuano
buríring,cebuano
búk-an,hiligaynon
kagitlahan,tagalog
dabog,tagalog
makaluma,tagalog
pagpuga,cebuano
aseyte-de-kastor,tagalog
magpaigib,tagalog
tribuson,tagalog
spacious,ilocano
lampas-lampasan,tagalog
hiplos,cebuano
ayaw-ayaw,tagalog
adlip,cebuano
manunuligsa,tagalog
bálay,hiligaynon
kulit,tagalog
ignuy,cebuano
limsiha,tagalog
mitaliku,cebuano
wíting,cebuano
kakulang,cebuano
detail,ilocano
youthful,ilocano
bintúsà,cebuano
batikan,tagalog
pagsusi,cebuano
hirîhî,hiligaynon
butá,hiligaynon
